Country, Network, Prefix, Tag Name, Cost Rate (USD), Cost Connect Fee (USD), Initial Interval, Next Interval, Reject Calls
Albania, Amc Landline, 35554, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35521, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 355450100, all, 1.2, 0.000, 60, 60, false
Albania, OLO Mobile, 3554250, all, 0.688, 0.000, 60, 60, false
Algeria, Orascom Mobile, 21377, all, 0.884, 0.000, 60, 60, false
Algeria, Orascom Mobile, 21378, all, 0.884, 0.000, 60, 60, false
Algeria, Ooredoo Mobile, 2135, all, 0.671, 0.000, 60, 60, false
Algeria, Mobilis Mobile, 2136, all, 0.623, 0.000, 60, 60, false
Algeria, Orascom Mobile, 21379, all, 0.884, 0.000, 60, 60, false
Algeria, Landline, 213, all, 0.086, 0.000, 60, 60, false
American Samoa, Mobile, 16842, all, 0.161, 0.000, 60, 60, false
American Samoa, Landline, 1684, all, 0.161, 0.000, 60, 60, false
Andorra, Mobile, 3765, all, 0.267, 0.000, 60, 60, false
Andorra, Landline, 376, all, 0.040, 0.000, 60, 60, false
Andorra, Mobile, 3764, all, 0.267, 0.000, 60, 60, false
Andorra, Mobile, 3766, all, 0.267, 0.000, 60, 60, false
Andorra, Mobile, 3763, all, 0.267, 0.000, 60, 60, false
Angola, Landline, 244, all, 0.117, 0.000, 60, 60, false
Angola, Unitel Mobile, 24492, all, 0.286, 0.000, 60, 60, false
Angola, Unitel Mobile, 24494, all, 0.286, 0.000, 60, 60, false
Angola, Mobile, 24491, all, 0.157, 0.000, 60, 60, false
Angola, Unitel Mobile, 24493, all, 0.286, 0.000, 60, 60, false
Angola, Mobile, 24499, all, 0.157, 0.000, 60, 60, false
Anguilla, Mobile, 1264582, all, 0.298, 0.000, 60, 60, false
Anguilla, Mobile, 1264469, all, 0.298, 0.000, 60, 60, false
Anguilla, Landline, 1264, all, 0.267, 0.000, 60, 60, false
Anguilla, Mobile, 1264584, all, 0.298, 0.000, 60, 60, false
Anguilla, Mobile, 1264581, all, 0.298, 0.000, 60, 60, false
Anguilla, Mobile, 1264772, all, 0.298, 0.000, 60, 60, false
Anguilla, Mobile, 1264476, all, 0.298, 0.000, 60, 60, false
Anguilla, Mobile, 1264729, all, 0.298, 0.000, 60, 60, false
Anguilla, Mobile, 1264235, all, 0.298, 0.000, 60, 60, false
Anguilla, Mobile, 1264583, all, 0.298, 0.000, 60, 60, false
Antarctica, Landline, 672, all, 1.4135, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268776, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268778, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268718, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 126878, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268732, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268779, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268736, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268464, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268774, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268717, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268771, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 126872, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268764, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268719, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268762, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268775, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Landline, 1268, all, 0.298, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268716, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268772, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268734, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268773, all, 0.301, 0.000, 60, 60, false
Antigua and Barbuda, Mobile, 1268770, all, 0.301, 0.000, 60, 60, false
Argentina, Santa Fe, 54342, all, 0.016, 0.000, 60, 60, false
Argentina, Zarate, 54348, all, 0.018, 0.000, 60, 60, false
Argentina, Landline, 54, all, 0.030, 0.000, 60, 60, false
Argentina, Tucuman, 54381, all, 0.028, 0.000, 60, 60, false
Argentina, Rosario, 54341, all, 0.018, 0.000, 60, 60, false
Argentina, Special Services, 54116261, all, 1.2, 0.000, 60, 60, false
Argentina, Neuquen, 54299, all, 0.018, 0.000, 60, 60, false
Argentina, Cordoba, 54351, all, 0.016, 0.000, 60, 60, false
Argentina, Mobile, 549, all, 0.151, 0.000, 60, 60, false
Argentina, Salta, 543874, all, 0.018, 0.000, 60, 60, false
Argentina, Mar Del Plata, 54223, all, 0.016, 0.000, 60, 60, false
Argentina, La Plata, 54221, all, 0.016, 0.000, 60, 60, false
Argentina, Special Services, 54115519, all, 1.2, 0.000, 60, 60, false
Argentina, Pilar, 54232, all, 0.018, 0.000, 60, 60, false
Argentina, Buenos Aires, 5411, all, 0.008, 0.000, 60, 60, false
Argentina, Mendoza, 54261, all, 0.016, 0.000, 60, 60, false
Argentina, Bahia Blanca, 54291, all, 0.016, 0.000, 60, 60, false
Argentina, La Pampa, 54230, all, 0.018, 0.000, 60, 60, false
Armenia, Karabakh Mobile, 37497, all, 0.200, 0.000, 60, 60, false
Armenia, K-Telecom Mobile, 37493, all, 0.288, 0.000, 60, 60, false
Armenia, K-Telecom Mobile, 37449, all, 0.288, 0.000, 60, 60, false
Armenia, Orange Mobile, 37441, all, 0.295, 0.000, 60, 60, false
Armenia, Orange Mobile, 37455, all, 0.295, 0.000, 60, 60, false
Armenia, Mobile, 3745, all, 0.295, 0.000, 60, 60, false
Armenia, Armentel Mobile, 37496, all, 0.292, 0.000, 60, 60, false
Armenia, Armentel Mobile, 37499, all, 0.292, 0.000, 60, 60, false
Armenia, Mobile, 3749, all, 0.295, 0.000, 60, 60, false
Armenia, Armentel Mobile, 37443, all, 0.292, 0.000, 60, 60, false
Armenia, K-Telecom Mobile, 37498, all, 0.288, 0.000, 60, 60, false
Armenia, K-Telecom Mobile, 37477, all, 0.288, 0.000, 60, 60, false
Armenia, K-Telecom Mobile, 37494, all, 0.288, 0.000, 60, 60, false
Armenia, Armentel Mobile, 37491, all, 0.292, 0.000, 60, 60, false
Armenia, Special Services, 37460, all, 0.700, 0.000, 60, 60, false
Armenia, Orange Mobile, 37495, all, 0.295, 0.000, 60, 60, false
Armenia, Karabakh, 37447, all, 0.192, 0.000, 60, 60, false
Armenia, Landline, 374, all, 0.230, 0.000, 60, 60, false
Aruba, Mobile, 29799, all, 0.255, 0.000, 60, 60, false
Aruba, Digicel Mobile, 29773, all, 0.255, 0.000, 60, 60, false
Aruba, Landline, 297, all, 0.177, 0.000, 60, 60, false
Aruba, Mobile, 29796, all, 0.255, 0.000, 60, 60, false
Aruba, Mobile, 29769, all, 0.255, 0.000, 60, 60, false
Aruba, Mobile, 297600, all, 0.255, 0.000, 60, 60, false
Aruba, Digicel Mobile, 29774, all, 0.255, 0.000, 60, 60, false
Aruba, Mobile, 29759, all, 0.255, 0.000, 60, 60, false
Aruba, Mobile, 29766, all, 0.255, 0.000, 60, 60, false
Aruba, Mobile, 29756, all, 0.255, 0.000, 60, 60, false
Aruba, Mobile, 297622, all, 0.255, 0.000, 60, 60, false
Australia, Sydney, 6129, all, 0.020, 0.000, 60, 60, false
Australia, Perth, 61864, all, 0.020, 0.000, 60, 60, false
Australia, Perth, 61866, all, 0.020, 0.000, 60, 60, false
Australia, Melbourne, 6139, all, 0.020, 0.000, 60, 60, false
Australia, Perth/Pinjarra, 61894, all, 0.020, 0.000, 60, 60, false
Australia, Adelaide, 61875, all, 0.020, 0.000, 60, 60, false
Australia, Special Services, 611300, all, 0.264, 0.000, 60, 60, false
Australia, Adelaide, 61871, all, 0.020, 0.000, 60, 60, false
Australia, Perth, 61893, all, 0.020, 0.000, 60, 60, false
Australia, Adelaide, 61874, all, 0.020, 0.000, 60, 60, false
Australia, Canberra, 61262, all, 0.020, 0.000, 60, 60, false
Australia, Brisbane, 6173, all, 0.020, 0.000, 60, 60, false
Australia, Landline, 61, all, 0.022, 0.000, 60, 60, false
Australia, Perth, 61862, all, 0.020, 0.000, 60, 60, false
Australia, Adelaide, 61881, all, 0.020, 0.000, 60, 60, false
Australia, Canberra, 61261, all, 0.020, 0.000, 60, 60, false
Australia, Melbourne, 6138, all, 0.020, 0.000, 60, 60, false
Australia, Adelaide, 61873, all, 0.020, 0.000, 60, 60, false
Australia, Perth, 61892, all, 0.020, 0.000, 60, 60, false
Australia, Special Services, 6113, all, 0.264, 0.000, 60, 60, false
Australia, Adelaide, 61870, all, 0.020, 0.000, 60, 60, false
Australia, Adelaide, 61884, all, 0.020, 0.000, 60, 60, false
Australia, Adelaide, 61883, all, 0.020, 0.000, 60, 60, false
Australia, Adelaide, 61882, all, 0.020, 0.000, 60, 60, false
Australia, Adelaide, 61872, all, 0.020, 0.000, 60, 60, false
Australia, Perth, 61861, all, 0.020, 0.000, 60, 60, false
Australia, Sydney, 6127, all, 0.020, 0.000, 60, 60, false
Australia, Mobile, 614, all, 0.047, 0.000, 60, 60, false
Australia, Sydney, 6128, all, 0.020, 0.000, 60, 60, false
Australia, Perth, 61863, all, 0.020, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 4367891, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43690, all, 0.294, 0.000, 60, 60, false
Austria, A1 Mobile, 4369989, EU, 0.028, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 43660, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 43661, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 436889, all, 0.294, 0.000, 60, 60, false
Austria, A1 Mobile, 4369989, all, 0.294, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 4367833, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 436688, all, 0.294, 0.000, 60, 60, false
Austria, Landline, 43, EU, 0.014, 0.000, 60, 60, false
Austria, A1 Mobile, 43680, all, 0.294, 0.000, 60, 60, false
Austria, T-Mobile, 43676, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 436889, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43663, EU, 0.028, 0.000, 60, 60, false
Austria, A1 Mobile, 4369981, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 436551, all, 0.294, 0.000, 60, 60, false
Austria, Shared Cost, 43828, EU, 0.153, 0.000, 60, 60, false
Austria, Mobile, 436551, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43661, EU, 0.028, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 4368183, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 43667, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43689, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 436552, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 4368861, all, 0.294, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 43699, all, 0.294, 0.000, 60, 60, false
Austria, Shared Cost, 43828, all, 0.153, 0.000, 60, 60, false
Austria, Mobile, 4368860, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 4368861, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43667, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 43677, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 4368864, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 436550, EU, 0.028, 0.000, 60, 60, false
Austria, A1 Mobile, 4369982, EU, 0.028, 0.000, 60, 60, false
Austria, Landline, 43, all, 0.153, 0.000, 60, 60, false
Austria, A1 Mobile, 4369988, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 436550, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 436688, EU, 0.028, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 4367890, all, 0.294, 0.000, 60, 60, false
Austria, A1 Mobile, 43680, EU, 0.028, 0.000, 60, 60, false
Austria, A1 Mobile, 43681, all, 0.294, 0.000, 60, 60, false
Austria, A1 Mobile, 4369988, EU, 0.028, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 4367833, EU, 0.028, 0.000, 60, 60, false
Austria, T-Mobile, 43676, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43677, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43686, EU, 0.028, 0.000, 60, 60, false
Austria, A1 Mobile, 4369981, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 43665, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 436781, all, 0.294, 0.000, 60, 60, false
Austria, Shared Cost, 43821, EU, 0.153, 0.000, 60, 60, false
Austria, T-Mobile, 43650, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 4368877, EU, 0.028, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 43660, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43678, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 43663, all, 0.294, 0.000, 60, 60, false
Austria, A1 Mobile, 4369982, all, 0.294, 0.000, 60, 60, false
Austria, A1 Mobile, 43664, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 436781, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43665, EU, 0.028, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 43699, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43678, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43686, all, 0.294, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 4368183, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43670, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 43689, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43690, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 43670, EU, 0.028, 0.000, 60, 60, false
Austria, T-Mobile, 43650, EU, 0.028, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 4367890, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 4368877, all, 0.294, 0.000, 60, 60, false
Austria, A1 Mobile, 43688, EU, 0.028, 0.000, 60, 60, false
Austria, Hutchison 3G Mobile, 4367891, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 436552, all, 0.294, 0.000, 60, 60, false
Austria, A1 Mobile, 43664, all, 0.294, 0.000, 60, 60, false
Austria, A1 Mobile, 43688, all, 0.294, 0.000, 60, 60, false
Austria, Mobile, 4368864, EU, 0.028, 0.000, 60, 60, false
Austria, Mobile, 4368860, all, 0.294, 0.000, 60, 60, false
Austria, Shared Cost, 43821, all, 0.153, 0.000, 60, 60, false
Austria, A1 Mobile, 43681, EU, 0.028, 0.000, 60, 60, false
Azerbaijan, Azercell Mobile, 99451, all, 0.336, 0.000, 60, 60, false
Azerbaijan, Mobile, 99444, all, 0.336, 0.000, 60, 60, false
Azerbaijan, Mobile, 99460, all, 0.336, 0.000, 60, 60, false
Azerbaijan, Azercell Mobile, 99450, all, 0.336, 0.000, 60, 60, false
Azerbaijan, Mobile, 99440, all, 0.336, 0.000, 60, 60, false
Azerbaijan, Azerphone Mobile, 99477, all, 0.336, 0.000, 60, 60, false
Azerbaijan, Azerphone Mobile, 99470, all, 0.336, 0.000, 60, 60, false
Azerbaijan, Bakcell Mobile, 99455, all, 0.336, 0.000, 60, 60, false
Azerbaijan, Baku, 99412, all, 0.298, 0.000, 60, 60, false
Azerbaijan, Landline, 994, all, 0.257, 0.000, 60, 60, false
Bahamas, Mobile, 124244, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124242, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124254, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124257, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124245, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124246, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124235, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124256, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124263, all, 0.117, 0.000, 60, 60, false
Bahamas, Landline, 1242, all, 0.085, 0.000, 60, 60, false
Bahamas, Mobile, 124253, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124260, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124243, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124237, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124239, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124278, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124264, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124255, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124247, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124252, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124248, all, 0.117, 0.000, 60, 60, false
Bahamas, Mobile, 124272, all, 0.117, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 97331, all, 0.161, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 973384, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 973340, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 973350, all, 0.161, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 973381, all, 0.161, 0.000, 60, 60, false
Bahrain, Landline, 973, all, 0.147, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 973323, all, 0.161, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 973320, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 973351, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 97333, all, 0.161, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 973388, all, 0.161, 0.000, 60, 60, false
Bahrain, Zain Mobile, 97336, all, 0.159, 0.000, 60, 60, false
Bahrain, Viva Mobile, 9736366, all, 0.161, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 973322, all, 0.161, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 973380, all, 0.161, 0.000, 60, 60, false
Bahrain, Zain Mobile, 973663, all, 0.159, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 973382, all, 0.161, 0.000, 60, 60, false
Bahrain, Zain Mobile, 973669, all, 0.159, 0.000, 60, 60, false
Bahrain, Viva Mobile, 973341, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 973344, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 973345, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 973355, all, 0.161, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 973383, all, 0.161, 0.000, 60, 60, false
Bahrain, Zain Mobile, 97337, all, 0.159, 0.000, 60, 60, false
Bahrain, Viva Mobile, 973343, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 9736361, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 973353, all, 0.161, 0.000, 60, 60, false
Bahrain, Zain Mobile, 973666, all, 0.159, 0.000, 60, 60, false
Bahrain, Viva Mobile, 9736300, all, 0.161, 0.000, 60, 60, false
Bahrain, Viva Mobile, 9736333, all, 0.161, 0.000, 60, 60, false
Bahrain, Batelco Mobile, 97339, all, 0.161, 0.000, 60, 60, false
Bangladesh, Landline, 880, all, 0.050, 0.000, 60, 60, false
Bangladesh, Mobile, 8801, all, 0.050, 0.000, 60, 60, false
Barbados, Mobile, 1246448, all, 0.272, 0.000, 60, 60, false
Barbados, Digicel Mobile, 1246256, all, 0.264, 0.000, 60, 60, false
Barbados, C&W Mobile, 124623, all, 0.272, 0.000, 60, 60, false
Barbados, Special Services, 1246777, all, 1.2, 0.000, 60, 60, false
Barbados, Special Services, 1246629008, all, 1.2, 0.000, 60, 60, false
Barbados, C&W Mobile, 1246252, all, 0.272, 0.000, 60, 60, false
Barbados, Special Services, 12464331700, all, 1.2, 0.000, 60, 60, false
Barbados, Digicel Mobile, 124682, all, 0.264, 0.000, 60, 60, false
Barbados, C&W Mobile, 1246251, all, 0.272, 0.000, 60, 60, false
Barbados, Mobile, 1246446, all, 0.272, 0.000, 60, 60, false
Barbados, C&W Mobile, 1246253, all, 0.272, 0.000, 60, 60, false
Barbados, Mobile, 1246532, all, 0.272, 0.000, 60, 60, false
Barbados, C&W Mobile, 1246255, all, 0.272, 0.000, 60, 60, false
Barbados, Mobile, 1246531, all, 0.272, 0.000, 60, 60, false
Barbados, Digicel Mobile, 124684, all, 0.264, 0.000, 60, 60, false
Barbados, C&W Mobile, 1246250, all, 0.272, 0.000, 60, 60, false
Barbados, Special Services, 1246776, all, 1.2, 0.000, 60, 60, false
Barbados, C&W Mobile, 124645, all, 0.272, 0.000, 60, 60, false
Barbados, C&W Mobile, 124624, all, 0.272, 0.000, 60, 60, false
Barbados, Mobile, 1246449, all, 0.272, 0.000, 60, 60, false
Barbados, Digicel Mobile, 124685, all, 0.264, 0.000, 60, 60, false
Barbados, Digicel Mobile, 124683, all, 0.264, 0.000, 60, 60, false
Barbados, Mobile, 1246447, all, 0.272, 0.000, 60, 60, false
Barbados, Digicel Mobile, 1246259, all, 0.264, 0.000, 60, 60, false
Barbados, Digicel Mobile, 1246257, all, 0.264, 0.000, 60, 60, false
Barbados, Mobile, 1246533, all, 0.272, 0.000, 60, 60, false
Barbados, Digicel Mobile, 124626, all, 0.264, 0.000, 60, 60, false
Barbados, Special Services, 1246629009, all, 1.2, 0.000, 60, 60, false
Barbados, Mobile, 1246534, all, 0.272, 0.000, 60, 60, false
